DeviceTag: Xsens DOT0,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-12 11:03:02.801,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
22957912,0.4842,0.5032,-0.5026,0.5097,-0.0020,-0.0138,-0.0633,0
22958079,0.4843,0.5031,-0.5026,0.5096,-0.0003,0.0104,-0.0693,0
22958245,0.4840,0.5034,-0.5025,0.5097,-0.0138,-0.0187,-0.0611,0
22958412,0.4842,0.5033,-0.5025,0.5096,-0.0061,-0.0115,-0.0552,0
22958579,0.4842,0.5034,-0.5025,0.5096,0.0006,-0.0115,-0.0595,0
22958745,0.4841,0.5035,-0.5024,0.5096,-0.0087,0.0091,-0.0541,0
22958912,0.4841,0.5035,-0.5025,0.5095,0.0053,-0.0214,-0.0566,0
22959079,0.4843,0.5034,-0.5026,0.5093,0.0057,0.0048,-0.0611,0
22959245,0.4844,0.5033,-0.5028,0.5091,0.0007,-0.0104,-0.0680,0
22959412,0.4845,0.5033,-0.5030,0.5089,0.0060,-0.0204,-0.0658,0
22959579,0.4845,0.5033,-0.5031,0.5089,-0.0037,-0.0272,-0.0569,0
22959745,0.4844,0.5033,-0.5031,0.5088,0.0076,-0.0266,-0.0593,0
22959912,0.4845,0.5033,-0.5032,0.5087,0.0094,-0.0326,-0.0470,0
22960079,0.4844,0.5033,-0.5032,0.5087,0.0082,-0.0056,-0.0513,0
22960245,0.4844,0.5034,-0.5032,0.5087,-0.0027,-0.0347,-0.0582,0
22960412,0.4843,0.5035,-0.5032,0.5087,0.0002,-0.0214,-0.0549,0
22960579,0.4843,0.5035,-0.5032,0.5086,0.0134,-0.0146,-0.0586,0
22960745,0.4844,0.5034,-0.5034,0.5085,0.0018,-0.0331,-0.0527,0
22960912,0.4843,0.5035,-0.5034,0.5085,0.0073,-0.0266,-0.0596,0
22961079,0.4843,0.5035,-0.5034,0.5084,0.0069,-0.0299,-0.0639,0
22961245,0.4844,0.5034,-0.5036,0.5082,0.0099,-0.0329,-0.0522,0
22961412,0.4844,0.5034,-0.5037,0.5081,0.0054,-0.0331,-0.0599,0
22961579,0.4846,0.5032,-0.5040,0.5079,0.0076,-0.0519,-0.0634,0
22961745,0.4845,0.5033,-0.5039,0.5079,0.0130,-0.0350,-0.0555,0
22961912,0.4845,0.5033,-0.5040,0.5078,-0.0077,-0.0486,-0.0562,0
