DeviceTag: Xsens DOT2,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-15 09:55:41.758,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
3378036,0.9668,-0.0193,-0.2524,0.0349,-0.0598,0.0391,0.1239,0
3378203,0.9669,-0.0195,-0.2519,0.0349,-0.0304,0.0254,0.0945,0
3378370,0.9670,-0.0197,-0.2516,0.0350,0.0181,0.0259,0.0773,0
3378536,0.9670,-0.0201,-0.2515,0.0348,-0.0236,0.0163,0.1344,0
3378703,0.9670,-0.0205,-0.2514,0.0348,-0.0428,0.0423,0.1159,0
3378870,0.9670,-0.0210,-0.2514,0.0346,0.0384,0.0402,0.0560,0
3379036,0.9670,-0.0215,-0.2513,0.0344,-0.0212,0.0626,0.1141,0
3379203,0.9670,-0.0219,-0.2514,0.0343,-0.0473,0.0834,0.1193,0
3379370,0.9670,-0.0224,-0.2514,0.0342,0.0043,0.0673,0.0745,0
3379536,0.9670,-0.0227,-0.2514,0.0343,0.0183,0.0604,0.1002,0
3379703,0.9670,-0.0232,-0.2515,0.0343,-0.0257,0.0914,0.1021,0
3379870,0.9669,-0.0236,-0.2516,0.0343,-0.0045,0.1009,0.1010,0
3380037,0.9669,-0.0241,-0.2516,0.0342,-0.0213,0.1030,0.1059,0
3380203,0.9669,-0.0245,-0.2516,0.0343,-0.0397,0.1282,0.0927,0
3380370,0.9669,-0.0249,-0.2517,0.0343,-0.0110,0.1155,0.1106,0
3380537,0.9669,-0.0254,-0.2518,0.0342,-0.0236,0.1108,0.0884,0
3380703,0.9668,-0.0258,-0.2518,0.0342,-0.0059,0.1315,0.0874,0
3380870,0.9668,-0.0263,-0.2518,0.0343,-0.0420,0.1670,0.1241,0
3381037,0.9668,-0.0267,-0.2519,0.0343,-0.0266,0.1600,0.1091,0
3381203,0.9668,-0.0271,-0.2520,0.0343,-0.0195,0.1665,0.0750,0
3381370,0.9667,-0.0276,-0.2520,0.0342,-0.0307,0.1694,0.1034,0
3381537,0.9667,-0.0280,-0.2520,0.0343,-0.0278,0.1800,0.0998,0
3381703,0.9667,-0.0285,-0.2521,0.0343,-0.0150,0.1927,0.1050,0
3381870,0.9667,-0.0289,-0.2521,0.0343,-0.0658,0.1975,0.1393,0
3382037,0.9666,-0.0293,-0.2522,0.0343,-0.0573,0.2174,0.0805,0
3382203,0.9666,-0.0298,-0.2522,0.0343,0.0033,0.2068,0.0964,0
3382370,0.9666,-0.0302,-0.2523,0.0343,-0.0458,0.2141,0.1032,0
3382537,0.9665,-0.0307,-0.2523,0.0343,-0.0409,0.2382,0.0866,0
3382703,0.9665,-0.0311,-0.2524,0.0343,-0.0350,0.2356,0.1089,0
3382870,0.9665,-0.0315,-0.2525,0.0343,-0.0619,0.2520,0.1156,0
3383037,0.9665,-0.0320,-0.2525,0.0343,-0.0395,0.2614,0.0914,0
3383203,0.9664,-0.0324,-0.2526,0.0343,-0.0532,0.2713,0.0991,0
3383370,0.9664,-0.0329,-0.2526,0.0343,-0.0165,0.2688,0.0713,0
3383870,0.9663,-0.0342,-0.2528,0.0343,-0.0201,0.3090,0.0908,0
3384037,0.9663,-0.0346,-0.2528,0.0343,-0.0589,0.3019,0.0929,0
3384203,0.9663,-0.0351,-0.2528,0.0343,-0.0606,0.3168,0.1105,0
3384703,0.9662,-0.0364,-0.2530,0.0344,-0.0446,0.3550,0.1145,0
3384870,0.9661,-0.0368,-0.2531,0.0345,-0.0500,0.3487,0.0979,0
3385037,0.9661,-0.0372,-0.2531,0.0345,-0.0380,0.3752,0.0957,0
3385203,0.9661,-0.0377,-0.2531,0.0345,-0.0684,0.3749,0.1267,0
3385370,0.9660,-0.0381,-0.2532,0.0345,-0.0615,0.3906,0.0990,0
3385870,0.9659,-0.0394,-0.2534,0.0346,-0.0670,0.4078,0.0844,0
3386037,0.9659,-0.0398,-0.2534,0.0346,-0.0464,0.4147,0.1025,0
3386203,0.9659,-0.0402,-0.2535,0.0346,-0.0773,0.4096,0.0966,0
3387037,0.9657,-0.0423,-0.2538,0.0348,-0.0581,0.4574,0.0726,0
3387203,0.9657,-0.0427,-0.2538,0.0348,-0.0715,0.4567,0.0783,0
3387370,0.9657,-0.0432,-0.2538,0.0348,-0.0721,0.4765,0.0996,0
3387537,0.9656,-0.0436,-0.2539,0.0349,-0.0942,0.4618,0.1058,0
3387703,0.9656,-0.0440,-0.2540,0.0349,-0.0696,0.4933,0.0830,0
3387870,0.9656,-0.0444,-0.2540,0.0349,-0.0679,0.5102,0.0806,0
3388037,0.9655,-0.0448,-0.2540,0.0349,-0.0823,0.5082,0.1014,0
3388203,0.9655,-0.0452,-0.2541,0.0349,-0.0690,0.5327,0.0706,0
3388370,0.9654,-0.0456,-0.2542,0.0350,-0.0508,0.5091,0.0697,0
3390037,0.9651,-0.0496,-0.2546,0.0352,-0.0875,0.5889,0.0969,0
3390203,0.9651,-0.0500,-0.2547,0.0352,-0.0953,0.5948,0.0900,0
3392203,0.9647,-0.0542,-0.2552,0.0355,-0.1035,0.6958,0.1002,0
3392370,0.9647,-0.0545,-0.2553,0.0355,-0.0856,0.7043,0.0756,0
3392537,0.9646,-0.0549,-0.2553,0.0355,-0.1152,0.6995,0.0552,0
3392870,0.9646,-0.0555,-0.2554,0.0356,-0.1368,0.7168,0.0851,0
3393037,0.9646,-0.0558,-0.2554,0.0356,-0.1119,0.7426,0.0775,0
3393203,0.9645,-0.0562,-0.2555,0.0356,-0.1275,0.7328,0.0576,0
3394370,0.9643,-0.0582,-0.2558,0.0358,-0.0898,0.7592,0.0627,0
3394537,0.9643,-0.0585,-0.2557,0.0359,-0.1216,0.7693,0.1145,0
3394703,0.9643,-0.0588,-0.2558,0.0359,-0.1295,0.7829,0.0666,0
3394870,0.9642,-0.0590,-0.2559,0.0360,-0.0862,0.7938,0.0483,0
3395037,0.9642,-0.0593,-0.2559,0.0360,-0.1364,0.7905,0.0805,0
3395203,0.9642,-0.0595,-0.2559,0.0361,-0.1190,0.7928,0.0814,0
3395870,0.9641,-0.0605,-0.2561,0.0362,-0.1153,0.8030,0.0899,0
3396037,0.9641,-0.0607,-0.2561,0.0363,-0.1428,0.8135,0.0871,0
3396203,0.9640,-0.0610,-0.2562,0.0363,-0.1116,0.8243,0.0366,0
3396370,0.9640,-0.0612,-0.2562,0.0364,-0.1603,0.8375,0.0922,0
3396537,0.9640,-0.0614,-0.2562,0.0364,-0.1488,0.8297,0.0793,0
3396704,0.9640,-0.0616,-0.2563,0.0365,-0.1156,0.8449,0.0507,0
