DeviceTag: nicolashumerus_l,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-12 11:03:02.574,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
22956429,0.1367,-0.6871,-0.1097,-0.7051,-0.0101,-0.0167,-0.1152,0
22956595,0.1361,-0.6872,-0.1093,-0.7052,-0.0493,-0.0165,-0.1081,0
22956762,0.1359,-0.6873,-0.1094,-0.7051,0.0182,-0.0026,-0.1158,0
22956929,0.1356,-0.6873,-0.1092,-0.7052,-0.0196,-0.0101,-0.1089,0
22957095,0.1354,-0.6873,-0.1091,-0.7053,-0.0210,-0.0135,-0.1223,0
22957262,0.1350,-0.6873,-0.1089,-0.7054,-0.0252,-0.0013,-0.1088,0
22957429,0.1342,-0.6873,-0.1082,-0.7056,0.0003,0.0143,-0.1080,0
22957595,0.1338,-0.6873,-0.1078,-0.7058,-0.0330,0.0046,-0.0943,0
22957762,0.1333,-0.6872,-0.1073,-0.7060,-0.0151,0.0028,-0.1036,0
22957929,0.1330,-0.6872,-0.1070,-0.7061,-0.0579,-0.0139,-0.1005,0
22958095,0.1330,-0.6871,-0.1070,-0.7062,-0.0390,0.0032,-0.0998,0
22958262,0.1327,-0.6870,-0.1068,-0.7064,-0.0525,0.0007,-0.1014,0
22958429,0.1325,-0.6870,-0.1066,-0.7065,-0.0446,-0.0081,-0.1034,0
22958595,0.1325,-0.6869,-0.1066,-0.7066,-0.0620,-0.0105,-0.0945,0
22958762,0.1322,-0.6868,-0.1063,-0.7067,-0.0309,-0.0038,-0.1039,0
22958929,0.1320,-0.6868,-0.1062,-0.7069,-0.0493,0.0036,-0.1054,0
22959095,0.1322,-0.6866,-0.1063,-0.7069,-0.0583,-0.0029,-0.1026,0
22959262,0.1321,-0.6865,-0.1063,-0.7070,-0.0347,-0.0008,-0.0947,0
22959429,0.1322,-0.6864,-0.1064,-0.7071,-0.0296,0.0101,-0.1227,0
22959595,0.1322,-0.6863,-0.1064,-0.7072,-0.0740,-0.0076,-0.1144,0
22959762,0.1321,-0.6862,-0.1063,-0.7074,-0.0608,-0.0065,-0.0954,0
22959929,0.1322,-0.6861,-0.1064,-0.7074,-0.0693,0.0027,-0.1011,0
22960095,0.1321,-0.6860,-0.1064,-0.7076,-0.0717,-0.0065,-0.1043,0
22960262,0.1321,-0.6859,-0.1064,-0.7077,-0.0889,-0.0081,-0.1111,0
22960429,0.1322,-0.6858,-0.1064,-0.7078,-0.0623,0.0021,-0.0983,0
22960595,0.1321,-0.6856,-0.1064,-0.7079,-0.0739,-0.0002,-0.1076,0
22960762,0.1321,-0.6855,-0.1065,-0.7080,-0.0655,-0.0128,-0.1068,0
22960929,0.1322,-0.6854,-0.1065,-0.7081,-0.0816,-0.0035,-0.0914,0
22961095,0.1321,-0.6853,-0.1064,-0.7082,-0.0828,0.0029,-0.1145,0
22961262,0.1320,-0.6852,-0.1063,-0.7083,-0.1045,-0.0017,-0.0985,0
22961429,0.1320,-0.6851,-0.1063,-0.7085,-0.0918,-0.0128,-0.1209,0
22961595,0.1319,-0.6850,-0.1063,-0.7086,-0.0757,0.0128,-0.1096,0
22961762,0.1319,-0.6849,-0.1063,-0.7087,-0.0858,-0.0084,-0.1097,0
22961929,0.1317,-0.6848,-0.1062,-0.7088,-0.1021,0.0009,-0.1074,0
22962095,0.1317,-0.6847,-0.1062,-0.7089,-0.1067,-0.0064,-0.0911,0
22962262,0.1316,-0.6846,-0.1061,-0.7091,-0.0990,-0.0115,-0.1229,0
22962429,0.1316,-0.6845,-0.1061,-0.7092,-0.1005,-0.0024,-0.1022,0
22962595,0.1315,-0.6844,-0.1061,-0.7093,-0.1171,-0.0045,-0.0984,0
22962762,0.1315,-0.6843,-0.1060,-0.7094,-0.1213,-0.0211,-0.1027,0
22962929,0.1315,-0.6842,-0.1060,-0.7095,-0.1223,-0.0073,-0.0939,0
22963095,0.1313,-0.6841,-0.1059,-0.7096,-0.1314,-0.0083,-0.1030,0
22963262,0.1313,-0.6840,-0.1058,-0.7097,-0.1071,-0.0208,-0.1005,0
22963429,0.1313,-0.6839,-0.1058,-0.7099,-0.1173,-0.0014,-0.1049,0
22963595,0.1312,-0.6838,-0.1058,-0.7100,-0.1451,-0.0002,-0.0978,0
22963762,0.1311,-0.6837,-0.1057,-0.7101,-0.1402,-0.0053,-0.0994,0
22963929,0.1311,-0.6836,-0.1057,-0.7102,-0.1305,-0.0185,-0.1035,0
22964095,0.1310,-0.6835,-0.1057,-0.7103,-0.1385,-0.0027,-0.0995,0
22964262,0.1310,-0.6834,-0.1057,-0.7104,-0.1349,-0.0100,-0.0989,0
22964429,0.1309,-0.6833,-0.1056,-0.7105,-0.1115,-0.0099,-0.1035,0
22964595,0.1309,-0.6832,-0.1056,-0.7106,-0.1511,-0.0090,-0.1101,0
22964762,0.1308,-0.6831,-0.1055,-0.7108,-0.1300,-0.0235,-0.1012,0
22964929,0.1308,-0.6830,-0.1055,-0.7109,-0.1616,-0.0314,-0.1102,0
22965095,0.1307,-0.6829,-0.1055,-0.7110,-0.1435,-0.0034,-0.1050,0
22965262,0.1306,-0.6828,-0.1054,-0.7111,-0.1656,-0.0170,-0.1050,0
