PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 1289495016, 0.07468001, 0.4534563, -0.23906955, 0.8553643, -0.0014998139, -0.02048703, 0.0022621155, 0
2, 1289511683, 0.07461046, 0.45331433, -0.23899321, 0.85546696, 0.044703122, -0.10239732, 0.053955078, 0
3, 1289528350, 0.074600615, 0.4532048, -0.23909381, 0.8554977, 0.05221779, -0.013175214, -0.004026413, 0
4, 1289545017, 0.07464001, 0.45320034, -0.23936282, 0.8554214, -0.008635465, 0.17031981, -0.13084984, 0
5, 1289561684, 0.074631736, 0.4532259, -0.23942101, 0.8553923, 6.761686E-4, 0.16173649, -0.14573002, 0
6, 1289578351, 0.0746343, 0.45327222, -0.23950118, 0.855345, 0.060653746, 0.038472027, -0.15378475, 0
7, 1289595018, 0.074752316, 0.4532827, -0.23960148, 0.8553011, 0.063907996, -0.040308606, -0.118359566, 0
8, 1289611685, 0.07486111, 0.45329657, -0.23981868, 0.8552234, 0.05278049, -0.030323891, -0.077067375, 0
9, 1289628352, 0.07497833, 0.45346794, -0.2400141, 0.8550674, -0.008724591, 0.043049853, -0.026908875, 0
10, 1289645019, 0.0750392, 0.45334592, -0.24015753, 0.8550866, 0.09699916, 0.05581395, 0.13041401, 0
11, 1289661686, 0.07499446, 0.45325014, -0.24025455, 0.85511386, 0.12199533, 0.12934542, 0.046175957, 0
12, 1289678353, 0.07493021, 0.4533265, -0.23994617, 0.8551657, 0.0118365055, 0.099440806, -0.1481905, 0
13, 1289695020, 0.074998826, 0.45337477, -0.23940995, 0.8552843, 0.011305104, -0.07801664, -0.13911343, 0
14, 1289711687, 0.075180024, 0.45327637, -0.23929572, 0.8553525, 0.037146393, -0.16735072, -0.028477669, 0
15, 1289728354, 0.0753955, 0.4531848, -0.23969759, 0.85526955, 0.032296993, 0.017331809, -0.044683456, 0
16, 1289745021, 0.07544619, 0.45317003, -0.23965383, 0.85528517, -0.012284342, 0.17177692, -0.054047585, 0
17, 1289761688, 0.07549033, 0.45306414, -0.23927656, 0.855443, 0.013786139, 0.078722015, -0.09401798, 0
18, 1289778355, 0.07559685, 0.4530621, -0.23916192, 0.8554668, 0.034470603, -0.0085105635, -0.070347786, 0
19, 1289795022, 0.0756703, 0.4529689, -0.2391676, 0.85550797, 0.07624203, -0.031058718, -0.07137585, 0
20, 1289811689, 0.07582877, 0.452962, -0.2392616, 0.85547125, 0.11413697, 0.014645966, -0.13294792, 0
21, 1289828356, 0.07599095, 0.45311135, -0.23922697, 0.8553875, 0.06292672, 0.057086356, -0.0017051697, 0
22, 1289845023, 0.076239586, 0.45318612, -0.23918019, 0.85533893, -8.2810153E-4, 0.13311136, 0.059161186, 0
23, 1289861690, 0.0763285, 0.45333216, -0.23887628, 0.8553386, -5.353135E-4, 0.18258388, 0.056960106, 0
24, 1289878357, 0.076052755, 0.45351812, -0.23787272, 0.8555442, 0.027680194, 0.07585052, 0.016569138, 0
25, 1289895024, 0.07582857, 0.45353946, -0.23687974, 0.85582834, 0.117379494, -0.112641536, -0.016692162, 0
26, 1289911691, 0.07618219, 0.45355356, -0.23689084, 0.8557862, 0.05818041, -0.09980908, -0.13879395, 0
27, 1289928358, 0.07654652, 0.45361277, -0.23695137, 0.8557056, -0.06577971, 0.06615095, -0.1215992, 0
28, 1289945025, 0.07669285, 0.4535821, -0.23652887, 0.85582566, -0.013871256, 0.09755776, -0.08492756, 0
29, 1289961692, 0.07689555, 0.4536464, -0.23621967, 0.85585886, 0.05597882, 0.032490037, -0.04714966, 0
30, 1289978359, 0.07705275, 0.453745, -0.23607546, 0.85583216, 0.034385078, 0.014479868, -0.051247597, 0
31, 1289995026, 0.07697595, 0.45388716, -0.23597227, 0.8557921, 0.013413277, -0.010947776, -0.01573658, 0
32, 1290011693, 0.077036634, 0.4539017, -0.23602763, 0.8557637, 0.030794734, 0.037668303, -0.09418392, 0
33, 1290028360, 0.07740574, 0.45388407, -0.23605396, 0.85573256, 0.041146584, 0.01383235, -0.107105255, 0
34, 1290045027, 0.07766105, 0.45385784, -0.23598994, 0.85574096, 0.105573915, -0.011764521, -0.022363663, 0
35, 1290061694, 0.0777891, 0.45387617, -0.23619291, 0.85566354, 0.115341544, -0.017042723, -0.006875992, 0
36, 1290078361, 0.0779054, 0.45389962, -0.23651493, 0.85555154, 0.099079855, 0.021078613, -0.01807499, 0
37, 1290095028, 0.07823331, 0.45398927, -0.23692033, 0.855362, 0.075634465, 0.11800779, -0.07521248, 0
38, 1290111695, 0.07854557, 0.45410338, -0.23691683, 0.8552738, 0.040228922, 0.17909084, -0.051419258, 0
39, 1290128362, 0.078892514, 0.45421565, -0.23665705, 0.85525405, 0.08878872, 0.11702568, -0.065485, 0
40, 1290145029, 0.07902518, 0.45453653, -0.23639406, 0.8551441, 0.13513617, -0.03952832, -0.070121765, 0
41, 1290161696, 0.07932601, 0.45474437, -0.23659526, 0.85495013, 0.023626171, -0.10517095, -0.09782314, 0
42, 1290178363, 0.07976502, 0.4548723, -0.23731585, 0.8546415, -0.02976378, -0.046439204, -0.09406948, 0
43, 1290195030, 0.08155441, 0.45457172, -0.23900136, 0.85416263, -0.077059865, 0.09890247, -0.15730667, 0
44, 1290211697, 0.08173003, 0.45461667, -0.24023981, 0.8537745, -0.06014429, 0.100343905, -0.29570293, 0
45, 1290228364, 0.08259165, 0.45481724, -0.24284771, 0.8528462, 0.07232084, -0.12643532, -0.16928673, 0
46, 1290245031, 0.08367239, 0.45458657, -0.24738918, 0.85155773, 0.102546796, -0.66240746, -0.05816269, 0
47, 1290261698, 0.08764805, 0.45303875, -0.25498685, 0.8497398, -0.04616336, -0.74689513, -0.48858166, 0
48, 1290278365, 0.09147786, 0.452663, -0.26358202, 0.8469088, -0.2518007, -0.09106183, -0.42912292, 0
49, 1290295032, 0.093981944, 0.4525777, -0.2708049, 0.8443977, -0.32856065, 0.5056267, 0.077607155, 0
50, 1290311699, 0.10294316, 0.44922268, -0.27938932, 0.84234524, 0.010835811, 0.7676109, 0.27225685, 0
51, 1290328366, 0.10884041, 0.44627157, -0.28644657, 0.84080076, 0.42191908, 0.767729, 0.37911797, 0
52, 1290345033, 0.11012084, 0.44526312, -0.2912872, 0.8395044, 0.121301346, 0.45947358, 0.19116116, 0
53, 1290361700, 0.110747986, 0.44412354, -0.2943865, 0.8389445, -0.15960185, -0.052316196, -0.14480782, 0
54, 1290378367, 0.11258657, 0.44232523, -0.29756778, 0.8385274, 0.20683944, -0.44166583, -0.31429863, 0
55, 1290395034, 0.11439078, 0.44088757, -0.3021172, 0.8374127, 0.4811399, -0.5701511, -0.09468365, 0
56, 1290411701, 0.116231345, 0.4399743, -0.30793008, 0.8355201, 0.153181, -0.3260578, 0.34886456, 0
57, 1290428368, 0.11851959, 0.4386353, -0.31344816, 0.8338492, -0.29711467, 0.32718295, 0.41813564, 0
58, 1290445035, 0.120690405, 0.43729877, -0.31692377, 0.83292556, 0.007960944, 0.50873506, 0.28232384, 0
59, 1290461702, 0.122369915, 0.4363152, -0.31860116, 0.83255637, 0.32320717, 0.16195181, 0.11315632, 0
60, 1290478369, 0.123400874, 0.43545654, -0.31966978, 0.8324442, 0.32365888, -0.13363892, -0.049668312, 0
61, 1290495036, 0.12397709, 0.43471822, -0.3217864, 0.8319287, 0.12094677, -0.064439006, 0.06649685, 0
62, 1290511703, 0.12427114, 0.4336394, -0.32442066, 0.8314246, -0.06905782, 0.09178074, 0.31278706, 0
63, 1290528370, 0.124707885, 0.43190134, -0.32635948, 0.8315052, 0.034419265, 0.16020922, 0.29972744, 0
64, 1290545037, 0.125531, 0.43014845, -0.3276283, 0.8317908, 0.20175107, 0.07175948, 0.10322857, 0
65, 1290561704, 0.12632099, 0.42881605, -0.32870367, 0.83193487, 0.1878839, 0.0715862, -0.0025920868, 0
66, 1290578371, 0.12680131, 0.42744228, -0.3298701, 0.8321073, 0.09234354, 0.092269614, 0.06153965, 0
67, 1290595038, 0.12678663, 0.42595518, -0.33098102, 0.8324309, 0.019312749, 0.17420796, -0.007751465, 0
68, 1290611705, 0.1266892, 0.42437592, -0.33236927, 0.83269924, 0.15329206, 0.3112798, -0.12902832, 0
69, 1290628372, 0.12599385, 0.42320767, -0.33324546, 0.833049, 0.24286428, 0.40618032, -0.2470665, 0
70, 1290645039, 0.124988414, 0.42240638, -0.33333293, 0.8335721, 0.21324843, 0.20415847, -0.33327675, 0
71, 1290661706, 0.124499515, 0.42135167, -0.3347527, 0.83361006, 0.20024945, 0.09587379, -0.31942177, 0
72, 1290678373, 0.12404859, 0.42019302, -0.33648044, 0.83356667, 0.16147883, 0.37686744, -0.36982155, 0
73, 1290695040, 0.123117045, 0.41961923, -0.33688992, 0.8338284, 0.10586121, 0.2869863, -0.4016962, 0
74, 1290711707, 0.12259145, 0.41920012, -0.337335, 0.8339366, 0.03855263, -0.023342464, -0.3507042, 0
75, 1290728374, 0.12242305, 0.41867483, -0.33914748, 0.8334898, 0.03861354, -0.07411743, -0.3269186, 0
76, 1290745041, 0.12209049, 0.4182632, -0.3410602, 0.83296466, 0.039774604, 0.21555986, -0.2939167, 0
77, 1290761708, 0.12126278, 0.41820174, -0.3417016, 0.8328535, 0.10518883, 0.2016805, -0.27007103, 0
78, 1290778375, 0.120480984, 0.41816217, -0.34271276, 0.8325714, 0.16685845, -0.11916303, -0.115716934, 0
79, 1290795042, 0.120012596, 0.41777602, -0.3445366, 0.83207995, 0.13841727, 0.049987808, -0.10709858, 0
80, 1290811709, 0.11932013, 0.41756937, -0.3448141, 0.83216816, 0.18724884, 0.25868276, -0.095869064, 0
81, 1290828376, 0.11818824, 0.41787693, -0.3439746, 0.83252275, 0.16325498, 0.004045054, 0.042499542, 0
82, 1290845043, 0.117490046, 0.41800898, -0.3436116, 0.83270514, -0.0620962, -0.33692053, 0.20451546, 0
83, 1290861710, 0.11753934, 0.41740248, -0.3442399, 0.83274287, -0.12520477, -0.07210402, 0.19018364, 0
84, 1290878377, 0.1169019, 0.41675732, -0.3443448, 0.83311224, 0.095613144, 0.28417295, 0.23236752, 0
85, 1290895044, 0.11497205, 0.41636056, -0.34297916, 0.83414197, 0.22529966, 0.10505763, 0.24150467, 0
86, 1290911711, 0.11318497, 0.415677, -0.34094137, 0.83556134, 0.13958094, -0.0041613923, -0.030563354, 0
87, 1290928378, 0.11202634, 0.41501948, -0.3383096, 0.83711255, 0.045750532, 0.0312016, -0.18757057, 0
88, 1290945045, 0.111296214, 0.4148104, -0.33553883, 0.8384277, 0.003408908, -0.15749466, -0.10147858, 0
89, 1290961712, 0.111179605, 0.4144553, -0.33418375, 0.8391598, -0.011153576, -0.42169407, 0.021932602, 0
