PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 1289361680, 0.8713088, -0.0693046, -0.44641486, -0.19165917, 0.31432536, 0.18165088, 0.101882935, 0
2, 1289378347, 0.87130904, -0.068581015, -0.44701642, -0.1905131, 0.21391843, 0.26396236, 0.31827545, 0
3, 1289395014, 0.8714275, -0.06773769, -0.4473932, -0.18938567, 0.17524712, 0.20174749, 0.2924242, 0
4, 1289411681, 0.87160146, -0.0674453, -0.44739285, -0.18868825, 0.20071195, 0.13491331, 0.18830204, 0
5, 1289428348, 0.87181747, -0.06698244, -0.44737473, -0.18789732, 0.22060505, 0.07928915, 0.14453506, 0
6, 1289445015, 0.8719575, -0.06657506, -0.44744197, -0.1872309, 0.20740214, 0.12985975, 0.19971752, 0
7, 1289461682, 0.87202823, -0.06644135, -0.44754946, -0.18669079, 0.26890576, 0.122287065, 0.25759315, 0
8, 1289478349, 0.87204516, -0.06620346, -0.44782662, -0.18603046, 0.22380932, 0.18246095, 0.28163815, 0
9, 1289495016, 0.8720539, -0.06578098, -0.4481451, -0.18537153, 0.19783176, 0.1964243, 0.25047684, 0
10, 1289511683, 0.872039, -0.06551898, -0.44845212, -0.18479039, 0.21359748, 0.15897074, 0.20691872, 0
11, 1289528350, 0.8720414, -0.06511606, -0.4487742, -0.18413906, 0.23605338, 0.075686574, 0.17447853, 0
12, 1289545017, 0.8719419, -0.06477572, -0.44934934, -0.18332489, 0.22292064, 0.13899964, 0.17171574, 0
13, 1289561684, 0.87177664, -0.06456276, -0.4500063, -0.18257388, 0.19657786, 0.2595689, 0.21901226, 0
14, 1289578351, 0.87169325, -0.064394906, -0.45040274, -0.18205276, 0.1611211, 0.27060428, 0.18163872, 0
15, 1289595018, 0.8717083, -0.06445161, -0.45045596, -0.1818291, 0.2232434, 0.16551884, 0.14466953, 0
16, 1289611685, 0.87176067, -0.06442828, -0.45050207, -0.18147166, 0.19910489, 0.14796054, 0.19542027, 0
17, 1289628352, 0.87186265, -0.064508274, -0.4504256, -0.18114349, 0.17227753, 0.19006927, 0.2517166, 0
18, 1289645019, 0.87200624, -0.064612016, -0.45022744, -0.18090744, 0.24490225, 0.20339416, 0.22031403, 0
19, 1289661686, 0.87215364, -0.06462197, -0.45002425, -0.18069826, 0.32137945, 0.12131875, 0.17295742, 0
20, 1289678353, 0.8722581, -0.064490184, -0.44996655, -0.18038405, 0.22900467, 0.12957224, 0.19353008, 0
21, 1289695020, 0.87240314, -0.06441682, -0.44980428, -0.18011494, 0.18893997, 0.19824713, 0.21935654, 0
22, 1289711687, 0.87257046, -0.06437797, -0.4495859, -0.17986229, 0.23923664, 0.13787638, 0.14608479, 0
23, 1289728354, 0.8726863, -0.06436074, -0.44949815, -0.1795262, 0.30203933, 0.12273739, 0.10762501, 0
24, 1289745021, 0.87271523, -0.064329885, -0.44960096, -0.1791387, 0.30300578, 0.12696369, 0.11614704, 0
25, 1289761688, 0.87276566, -0.06436096, -0.44964024, -0.17878266, 0.2088362, 0.2161381, 0.22773266, 0
26, 1289778355, 0.87292004, -0.06457017, -0.44936937, -0.17863406, 0.14509657, 0.2407569, 0.28576946, 0
27, 1289795022, 0.87307864, -0.064800456, -0.4490734, -0.17851983, 0.20604631, 0.15914066, 0.13355541, 0
28, 1289811689, 0.8731993, -0.06487159, -0.44892094, -0.17828727, 0.2514392, 0.12843361, 0.1420145, 0
29, 1289828356, 0.8733225, -0.06484679, -0.4487667, -0.17808144, 0.270296, 0.12332551, 0.23746872, 0
30, 1289845023, 0.8734482, -0.064919814, -0.44854733, -0.17799124, 0.27802286, 0.10109508, 0.29074, 0
31, 1289861690, 0.8735982, -0.06494538, -0.44834414, -0.17775705, 0.27240285, 0.12642188, 0.2042818, 0
32, 1289878357, 0.8736964, -0.06475225, -0.44832656, -0.17738922, 0.29235405, 0.08186475, 0.16106033, 0
33, 1289895024, 0.8737622, -0.064440385, -0.4484269, -0.1769235, 0.2677529, 0.11228173, 0.18021297, 0
34, 1289911691, 0.8738521, -0.064141534, -0.44847474, -0.17646621, 0.25931346, 0.13092339, 0.16583824, 0
35, 1289928358, 0.87394905, -0.06367448, -0.44858292, -0.17587975, 0.29158652, 0.05857157, 0.13300037, 0
36, 1289945025, 0.87403065, -0.0632097, -0.44873887, -0.17524338, 0.2785378, 0.1431729, 0.18184948, 0
37, 1289961692, 0.87410593, -0.06283485, -0.44887558, -0.17465147, 0.31035757, 0.15488961, 0.20420933, 0
38, 1289978359, 0.874133, -0.062350646, -0.44912887, -0.17403746, 0.33389527, 0.04176954, 0.13964081, 0
39, 1289995026, 0.87409467, -0.06158302, -0.44965085, -0.17315313, 0.33753362, 0.040915053, 0.1553011, 0
40, 1290011693, 0.873986, -0.06078338, -0.45037028, -0.1721105, 0.28261873, 0.04258777, 0.15530968, 0
41, 1290028360, 0.8738604, -0.059583813, -0.4513269, -0.17065701, 0.23343559, -0.026271265, 0.14493752, 0
42, 1290045027, 0.8736499, -0.05849444, -0.4524353, -0.16917102, 0.23630773, 0.21781331, 0.14080429, 0
43, 1290061694, 0.8732423, -0.05798837, -0.4537946, -0.16780257, 0.2941502, 0.19624919, 0.18127918, 0
44, 1290078361, 0.87283456, -0.05679124, -0.4553415, -0.16613516, 0.24448293, 0.06687491, 0.2659607, 0
45, 1290095028, 0.8724565, -0.055406198, -0.45690882, -0.1642743, 0.19999358, 0.08871888, 0.29981327, 0
46, 1290111695, 0.87220126, -0.054187596, -0.4581983, -0.16243362, 0.24869125, 0.13000958, 0.18262672, 0
47, 1290128362, 0.87198955, -0.05304221, -0.45925522, -0.16095825, 0.25984365, 0.14372995, 0.12920666, 0
48, 1290145029, 0.8717851, -0.051821183, -0.4603061, -0.1594536, 0.25086573, 0.15966204, 0.19997883, 0
49, 1290161696, 0.8716343, -0.0505618, -0.46117267, -0.15817338, 0.23202164, 0.109426215, 0.26346207, 0
50, 1290178363, 0.871686, -0.04819179, -0.46189266, -0.15651847, 0.32430837, -0.013809077, 0.14762878, 0
51, 1290195030, 0.8719121, -0.042030785, -0.46325433, -0.15296994, 0.57086146, -0.3669338, -0.1355114, 0
