PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 1289478349, 0.7609283, 0.59616387, 0.18642561, 0.17556277, 0.26413935, -0.24373417, 5.5503845E-4, 0
2, 1289495016, 0.7609087, 0.596252, 0.1863979, 0.17537725, 0.25164786, -0.2389282, 0.018047333, 0
3, 1289511683, 0.76090276, 0.5963058, 0.18640746, 0.17521043, 0.25615165, -0.22130823, -0.0028333664, 0
4, 1289528350, 0.76090765, 0.5963363, 0.18644324, 0.17504725, 0.30069163, -0.20774993, 0.0098724365, 0
5, 1289545017, 0.76087505, 0.5963954, 0.18653117, 0.17489423, 0.30104715, -0.23530371, 0.016835213, 0
6, 1289561684, 0.7608605, 0.59646004, 0.1865492, 0.1747176, 0.26434866, -0.27983555, 0.033388138, 0
7, 1289578351, 0.7608452, 0.5965281, 0.18651998, 0.17458251, 0.26584643, -0.28288782, 0.05838585, 0
8, 1289595018, 0.76090443, 0.5965224, 0.18639156, 0.17448153, 0.28608328, -0.2730327, 0.019569397, 0
9, 1289611685, 0.7609138, 0.596582, 0.1863097, 0.17432399, 0.30681333, -0.21830153, 0.013102531, 0
10, 1289628352, 0.7608625, 0.5966852, 0.18631966, 0.17418414, 0.33129337, -0.21379551, -0.011383057, 0
11, 1289645019, 0.7607982, 0.5967952, 0.18635592, 0.17404942, 0.28339642, -0.26864603, 0.006341934, 0
12, 1289661686, 0.76082176, 0.59679025, 0.18634579, 0.17397447, 0.30010593, -0.27861515, -1.1444092E-4, 0
13, 1289678353, 0.7608072, 0.59682536, 0.18635243, 0.17391028, 0.318358, -0.3407634, -0.03025055, 0
14, 1289695020, 0.7606634, 0.59703916, 0.18635093, 0.1738077, 0.2954953, -0.3362672, -0.030456543, 0
15, 1289711687, 0.7605021, 0.5972704, 0.18635078, 0.17371824, 0.28216967, -0.2607225, 0.025203705, 0
16, 1289728354, 0.7603141, 0.59754235, 0.18633948, 0.17361844, 0.2741506, -0.21051568, 0.03229332, 0
17, 1289745021, 0.76022005, 0.59769523, 0.18633524, 0.17350893, 0.29529616, -0.17828064, 0.04634571, 0
18, 1289761688, 0.7602031, 0.59773034, 0.18635052, 0.17344485, 0.2750185, -0.15864815, 0.052598953, 0
19, 1289778355, 0.76031595, 0.5975844, 0.18634857, 0.17345545, 0.25447464, -0.17496282, 0.06142044, 0
20, 1289795022, 0.7605657, 0.59726256, 0.18629608, 0.17352575, 0.24517438, -0.18795204, 0.0610466, 0
21, 1289811689, 0.7608656, 0.5968705, 0.18620327, 0.17365928, 0.29123938, -0.2253936, 0.010929108, 0
22, 1289828356, 0.7609938, 0.5966884, 0.18620124, 0.17372598, 0.30547616, -0.2604315, -0.06483269, 0
23, 1289845023, 0.76097953, 0.59669846, 0.18626252, 0.17368759, 0.299289, -0.25904793, -0.046535492, 0
24, 1289861690, 0.76093054, 0.596767, 0.18632467, 0.17360027, 0.30971485, -0.2877832, -0.009515762, 0
25, 1289878357, 0.76094, 0.5967642, 0.18634875, 0.17354259, 0.32966083, -0.26861832, -0.031085968, 0
26, 1289895024, 0.76088303, 0.5968487, 0.1863993, 0.17344777, 0.30422437, -0.21606193, 0.004835129, 0
27, 1289911691, 0.7608705, 0.5968675, 0.18645686, 0.17337562, 0.31359917, -0.20128816, 0.012465477, 0
28, 1289928358, 0.76085156, 0.5968999, 0.18651305, 0.17328669, 0.28244504, -0.22848612, 0.033345222, 0
29, 1289945025, 0.760937, 0.5968044, 0.18650576, 0.17324907, 0.28584468, -0.21413167, 0.019551277, 0
30, 1289961692, 0.76096964, 0.59677935, 0.18652378, 0.17317243, 0.3111326, -0.24442439, 0.003293991, 0
31, 1289978359, 0.76094455, 0.59681404, 0.18658504, 0.17309693, 0.30696955, -0.26469925, 0.0039310455, 0
32, 1289995026, 0.76088727, 0.5969001, 0.18662035, 0.17301399, 0.302041, -0.25313735, 0.019322395, 0
33, 1290011693, 0.76085126, 0.5969694, 0.18662292, 0.17293024, 0.3242251, -0.25977078, 0.0020923615, 0
34, 1290028360, 0.76081765, 0.5970264, 0.18664037, 0.17286214, 0.32261178, -0.2522147, -0.0131959915, 0
35, 1290045027, 0.7607719, 0.5970836, 0.1867048, 0.17279637, 0.33135763, -0.20450452, 0.020331383, 0
36, 1290061694, 0.760786, 0.5970641, 0.18673553, 0.17276847, 0.296447, -0.22655898, 0.022336006, 0
37, 1290078361, 0.7607688, 0.5970902, 0.18675452, 0.17273384, 0.3069814, -0.24820577, -0.014487267, 0
38, 1290095028, 0.7606869, 0.5971875, 0.1868053, 0.1727031, 0.33000904, -0.21602125, 0.018094063, 0
