DeviceTag: Xsens DOT1,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-01 19:39:13.512,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
12525246,0.5187,0.0122,-0.0062,-0.8549,-0.0290,0.0020,0.3103,0
12525412,0.5180,0.0124,-0.0069,-0.8553,-0.0383,0.0272,0.3084,0
12525579,0.5165,0.0126,-0.0075,-0.8562,-0.0287,0.0165,0.3337,0
12525746,0.5177,0.0128,-0.0080,-0.8555,-0.0298,0.0340,0.3188,0
12525912,0.5174,0.0132,-0.0086,-0.8556,-0.0720,0.0342,0.3232,0
12526079,0.5178,0.0134,-0.0091,-0.8553,-0.0882,0.0323,0.2847,0
12526246,0.5178,0.0137,-0.0097,-0.8553,-0.0742,0.0386,0.2995,0
12526412,0.5189,0.0139,-0.0102,-0.8547,-0.0871,0.0580,0.3081,0
12526579,0.5184,0.0142,-0.0108,-0.8550,-0.0939,0.0507,0.3110,0
12526746,0.5189,0.0145,-0.0113,-0.8547,-0.1314,0.0613,0.3208,0
12526912,0.5196,0.0148,-0.0119,-0.8542,-0.1228,0.0719,0.3161,0
12527079,0.5196,0.0150,-0.0125,-0.8542,-0.1364,0.0860,0.3089,0
12527246,0.5195,0.0153,-0.0131,-0.8542,-0.1538,0.0990,0.3224,0
12527412,0.5198,0.0156,-0.0136,-0.8541,-0.1752,0.0926,0.2935,0
12527579,0.5204,0.0159,-0.0142,-0.8536,-0.1820,0.1114,0.3085,0
12527746,0.5204,0.0162,-0.0148,-0.8536,-0.1940,0.1177,0.3340,0
12527912,0.5206,0.0165,-0.0154,-0.8535,-0.1820,0.1148,0.3079,0
12528079,0.5207,0.0168,-0.0160,-0.8534,-0.2064,0.1335,0.3031,0
12528246,0.5214,0.0171,-0.0165,-0.8530,-0.2270,0.1290,0.2840,0
12528412,0.5216,0.0174,-0.0171,-0.8528,-0.2375,0.1451,0.3075,0
12528579,0.5219,0.0177,-0.0177,-0.8526,-0.2296,0.1601,0.3088,0
12528746,0.5222,0.0180,-0.0183,-0.8524,-0.2467,0.1522,0.2943,0
12528912,0.5226,0.0183,-0.0189,-0.8522,-0.2616,0.1625,0.2987,0
12529079,0.5225,0.0186,-0.0194,-0.8522,-0.2787,0.1707,0.3093,0
12529246,0.5228,0.0189,-0.0200,-0.8520,-0.3026,0.1738,0.3080,0
12529412,0.5232,0.0192,-0.0206,-0.8518,-0.3089,0.1922,0.3230,0
12529579,0.5233,0.0195,-0.0212,-0.8517,-0.3038,0.1819,0.3154,0
12529746,0.5235,0.0198,-0.0218,-0.8515,-0.3259,0.1868,0.3103,0
12529912,0.5237,0.0201,-0.0224,-0.8514,-0.3355,0.1999,0.3064,0
12530079,0.5241,0.0204,-0.0230,-0.8511,-0.3472,0.2139,0.3049,0
12530246,0.5239,0.0207,-0.0236,-0.8512,-0.3624,0.2168,0.3006,0
12530412,0.5244,0.0210,-0.0242,-0.8509,-0.3736,0.2271,0.3100,0
12530579,0.5248,0.0213,-0.0248,-0.8506,-0.3760,0.2348,0.3023,0
12530746,0.5250,0.0216,-0.0253,-0.8504,-0.4021,0.2382,0.2855,0
12530912,0.5252,0.0219,-0.0259,-0.8503,-0.4058,0.2467,0.2784,0
12531079,0.5254,0.0222,-0.0265,-0.8501,-0.4179,0.2613,0.2896,0
12531246,0.5259,0.0226,-0.0271,-0.8498,-0.4268,0.2615,0.3003,0
12531412,0.5259,0.0229,-0.0277,-0.8498,-0.4430,0.2555,0.2754,0
12531579,0.5262,0.0232,-0.0283,-0.8496,-0.4483,0.2821,0.2878,0
12531746,0.5265,0.0235,-0.0289,-0.8494,-0.4493,0.2765,0.2871,0
12531913,0.5270,0.0238,-0.0294,-0.8490,-0.4802,0.2920,0.2906,0
12532079,0.5271,0.0241,-0.0300,-0.8489,-0.4950,0.2905,0.3120,0
12532246,0.5274,0.0244,-0.0306,-0.8487,-0.4936,0.3132,0.2920,0
12532413,0.5278,0.0247,-0.0312,-0.8485,-0.5240,0.2996,0.2815,0
12532579,0.5281,0.0250,-0.0318,-0.8482,-0.5218,0.3157,0.3092,0
12532746,0.5283,0.0253,-0.0324,-0.8481,-0.5374,0.3249,0.3033,0
12532913,0.5286,0.0256,-0.0330,-0.8479,-0.5520,0.3308,0.2850,0
12533079,0.5290,0.0259,-0.0335,-0.8476,-0.5529,0.3361,0.2886,0
12533246,0.5292,0.0262,-0.0341,-0.8474,-0.5606,0.3381,0.2855,0
12533413,0.5295,0.0266,-0.0347,-0.8472,-0.5802,0.3412,0.2919,0
12533579,0.5297,0.0269,-0.0353,-0.8470,-0.5992,0.3462,0.2849,0
12533746,0.5301,0.0272,-0.0358,-0.8467,-0.6074,0.3567,0.2828,0
12533913,0.5302,0.0275,-0.0364,-0.8467,-0.6062,0.3663,0.2929,0
12534079,0.5305,0.0278,-0.0369,-0.8464,-0.6273,0.3746,0.2630,0
12534246,0.5308,0.0281,-0.0375,-0.8462,-0.6411,0.3762,0.2790,0
12534413,0.5311,0.0284,-0.0381,-0.8460,-0.6369,0.3901,0.2906,0
12534579,0.5313,0.0287,-0.0386,-0.8458,-0.6416,0.3778,0.2537,0
12534746,0.5315,0.0290,-0.0392,-0.8457,-0.6745,0.3827,0.2673,0
12534913,0.5319,0.0293,-0.0398,-0.8454,-0.7067,0.4075,0.2779,0
12535079,0.5321,0.0296,-0.0403,-0.8452,-0.6825,0.4045,0.2668,0
12535246,0.5324,0.0299,-0.0409,-0.8450,-0.7033,0.4217,0.2870,0
12535413,0.5327,0.0302,-0.0414,-0.8448,-0.7163,0.4181,0.2818,0
12535579,0.5330,0.0304,-0.0419,-0.8445,-0.7358,0.4205,0.2921,0
12535746,0.5331,0.0307,-0.0425,-0.8444,-0.7569,0.4383,0.2781,0
12535913,0.5334,0.0310,-0.0430,-0.8442,-0.7577,0.4386,0.2825,0
12536079,0.5337,0.0313,-0.0435,-0.8440,-0.7387,0.4473,0.2680,0
12536246,0.5341,0.0316,-0.0441,-0.8437,-0.7584,0.4460,0.2447,0
12536413,0.5343,0.0319,-0.0446,-0.8435,-0.7916,0.4483,0.2755,0
12536579,0.5345,0.0321,-0.0451,-0.8433,-0.7888,0.4637,0.2524,0
12536746,0.5349,0.0324,-0.0457,-0.8431,-0.8091,0.4719,0.2801,0
12536913,0.5352,0.0327,-0.0462,-0.8429,-0.8190,0.4717,0.2730,0
12537079,0.5355,0.0330,-0.0467,-0.8426,-0.8170,0.4842,0.2843,0
12537246,0.5357,0.0333,-0.0472,-0.8425,-0.8380,0.4925,0.2814,0
