Coordinates
nRows=620
nColumns=12
endheader
Quat_W_x	Quat_X_x	Quat_Y_x	Quat_Z_x	Quat_W_y	Quat_X_y	Quat_Y_y	Quat_Z_y	Quat_W	Quat_X	Quat_Y	Quat_Z
0.07468001	0.4534563	-0.23906955	0.8553643	0.8713088	-0.0693046	-0.44641486	-0.19165917	0.7609283	0.59616387	0.18642561	0.17556277
0.07461046	0.45331433	-0.23899321	0.85546696	0.87130904	-0.068581015	-0.44701642	-0.1905131	0.7609087	0.596252	0.1863979	0.17537725
0.074600615	0.4532048	-0.23909381	0.8554977	0.8714275	-0.06773769	-0.4473932	-0.18938567	0.76090276	0.5963058	0.18640746	0.17521043
0.07464001	0.45320034	-0.23936282	0.8554214	0.87160146	-0.0674453	-0.44739285	-0.18868825	0.76090765	0.5963363	0.18644324	0.17504725
0.074631736	0.4532259	-0.23942101	0.8553923	0.87181747	-0.06698244	-0.44737473	-0.18789732	0.76087505	0.5963954	0.18653117	0.17489423
0.0746343	0.45327222	-0.23950118	0.855345	0.8719575	-0.06657506	-0.44744197	-0.1872309	0.7608605	0.59646004	0.1865492	0.1747176
0.074752316	0.4532827	-0.23960148	0.8553011	0.87202823	-0.06644135	-0.44754946	-0.18669079	0.7608452	0.5965281	0.18651998	0.17458251
0.07486111	0.45329657	-0.23981868	0.8552234	0.87204516	-0.06620346	-0.44782662	-0.18603046	0.76090443	0.5965224	0.18639156	0.17448153
0.07497833	0.45346794	-0.2400141	0.8550674	0.8720539	-0.06578098	-0.4481451	-0.18537153	0.7609138	0.596582	0.1863097	0.17432399
0.0750392	0.45334592	-0.24015753	0.8550866	0.872039	-0.06551898	-0.44845212	-0.18479039	0.7608625	0.5966852	0.18631966	0.17418414
0.07499446	0.45325014	-0.24025455	0.85511386	0.8720414	-0.06511606	-0.4487742	-0.18413906	0.7607982	0.5967952	0.18635592	0.17404942
0.07493021	0.4533265	-0.23994617	0.8551657	0.8719419	-0.06477572	-0.44934934	-0.18332489	0.76082176	0.59679025	0.18634579	0.17397447
0.074998826	0.45337477	-0.23940995	0.8552843	0.87177664	-0.06456276	-0.4500063	-0.18257388	0.7608072	0.59682536	0.18635243	0.17391028
0.075180024	0.45327637	-0.23929572	0.8553525	0.87169325	-0.064394906	-0.45040274	-0.18205276	0.7606634	0.59703916	0.18635093	0.1738077
0.0753955	0.4531848	-0.23969759	0.85526955	0.8717083	-0.06445161	-0.45045596	-0.1818291	0.7605021	0.5972704	0.18635078	0.17371824
0.07544619	0.45317003	-0.23965383	0.85528517	0.87176067	-0.06442828	-0.45050207	-0.18147166	0.7603141	0.59754235	0.18633948	0.17361844
0.07549033	0.45306414	-0.23927656	0.855443	0.87186265	-0.064508274	-0.4504256	-0.18114349	0.76022005	0.59769523	0.18633524	0.17350893
0.07559685	0.4530621	-0.23916192	0.8554668	0.87200624	-0.064612016	-0.45022744	-0.18090744	0.7602031	0.59773034	0.18635052	0.17344485
0.0756703	0.4529689	-0.2391676	0.85550797	0.87215364	-0.06462197	-0.45002425	-0.18069826	0.76031595	0.5975844	0.18634857	0.17345545
0.07582877	0.452962	-0.2392616	0.85547125	0.8722581	-0.064490184	-0.44996655	-0.18038405	0.7605657	0.59726256	0.18629608	0.17352575
0.07599095	0.45311135	-0.23922697	0.8553875	0.87240314	-0.06441682	-0.44980428	-0.18011494	0.7608656	0.5968705	0.18620327	0.17365928
0.076239586	0.45318612	-0.23918019	0.85533893	0.87257046	-0.06437797	-0.4495859	-0.17986229	0.7609938	0.5966884	0.18620124	0.17372598
0.0763285	0.45333216	-0.23887628	0.8553386	0.8726863	-0.06436074	-0.44949815	-0.1795262	0.76097953	0.59669846	0.18626252	0.17368759
0.076052755	0.45351812	-0.23787272	0.8555442	0.87271523	-0.064329885	-0.44960096	-0.1791387	0.76093054	0.596767	0.18632467	0.17360027
0.07582857	0.45353946	-0.23687974	0.85582834	0.87276566	-0.06436096	-0.44964024	-0.17878266	0.76094	0.5967642	0.18634875	0.17354259
0.07618219	0.45355356	-0.23689084	0.8557862	0.87292004	-0.06457017	-0.44936937	-0.17863406	0.76088303	0.5968487	0.1863993	0.17344777
0.07654652	0.45361277	-0.23695137	0.8557056	0.87307864	-0.064800456	-0.4490734	-0.17851983	0.7608705	0.5968675	0.18645686	0.17337562
0.07669285	0.4535821	-0.23652887	0.85582566	0.8731993	-0.06487159	-0.44892094	-0.17828727	0.76085156	0.5968999	0.18651305	0.17328669
0.07689555	0.4536464	-0.23621967	0.85585886	0.8733225	-0.06484679	-0.4487667	-0.17808144	0.760937	0.5968044	0.18650576	0.17324907
0.07705275	0.453745	-0.23607546	0.85583216	0.8734482	-0.064919814	-0.44854733	-0.17799124	0.76096964	0.59677935	0.18652378	0.17317243
0.07697595	0.45388716	-0.23597227	0.8557921	0.8735982	-0.06494538	-0.44834414	-0.17775705	0.76094455	0.59681404	0.18658504	0.17309693
0.077036634	0.4539017	-0.23602763	0.8557637	0.8736964	-0.06475225	-0.44832656	-0.17738922	0.76088727	0.5969001	0.18662035	0.17301399
0.07740574	0.45388407	-0.23605396	0.85573256	0.8737622	-0.064440385	-0.4484269	-0.1769235	0.76085126	0.5969694	0.18662292	0.17293024
0.07766105	0.45385784	-0.23598994	0.85574096	0.8738521	-0.064141534	-0.44847474	-0.17646621	0.76081765	0.5970264	0.18664037	0.17286214
0.0777891	0.45387617	-0.23619291	0.85566354	0.87394905	-0.06367448	-0.44858292	-0.17587975	0.7607719	0.5970836	0.1867048	0.17279637
0.0779054	0.45389962	-0.23651493	0.85555154	0.87403065	-0.0632097	-0.44873887	-0.17524338	0.760786	0.5970641	0.18673553	0.17276847
0.07823331	0.45398927	-0.23692033	0.855362	0.87410593	-0.06283485	-0.44887558	-0.17465147	0.7607688	0.5970902	0.18675452	0.17273384
0.07854557	0.45410338	-0.23691683	0.8552738	0.874133	-0.062350646	-0.44912887	-0.17403746	0.7606869	0.5971875	0.1868053	0.1727031
0.078892514	0.45421565	-0.23665705	0.85525405	0.87409467	-0.06158302	-0.44965085	-0.17315313	0.76061964	0.59728104	0.18684411	0.17263386
0.07902518	0.45453653	-0.23639406	0.8551441	0.873986	-0.06078338	-0.45037028	-0.1721105	0.760536	0.59738946	0.18686153	0.17260844
0.07932601	0.45474437	-0.23659526	0.85495013	0.8738604	-0.059583813	-0.4513269	-0.17065701	0.760472	0.5974745	0.18687233	0.17258434
0.07976502	0.4548723	-0.23731585	0.8546415	0.8736499	-0.05849444	-0.4524353	-0.16917102	0.76042837	0.5975212	0.1869018	0.17258357
0.08155441	0.45457172	-0.23900136	0.85416263	0.8732423	-0.05798837	-0.4537946	-0.16780257	0.7604091	0.5975281	0.18688306	0.17266399
0.08173003	0.45461667	-0.24023981	0.8537745	0.87283456	-0.05679124	-0.4553415	-0.16613516	0.76034194	0.5975689	0.18695031	0.1727457
0.08259165	0.45481724	-0.24284771	0.8528462	0.8724565	-0.055406198	-0.45690882	-0.1642743	0.75990176	0.598076	0.1871973	0.1726606
0.08367239	0.45458657	-0.24738918	0.85155773	0.87220126	-0.054187596	-0.4581983	-0.16243362	0.7590399	0.5990922	0.18748456	0.17261738
0.08764805	0.45303875	-0.25498685	0.8497398	0.87198955	-0.05304221	-0.45925522	-0.16095825	0.75795543	0.60039955	0.18778652	0.17251147
0.09147786	0.452663	-0.26358202	0.8469088	0.8717851	-0.051821183	-0.4603061	-0.1594536	0.75697774	0.60158503	0.18790984	0.1725406
0.093981944	0.4525777	-0.2708049	0.8443977	0.8716343	-0.0505618	-0.46117267	-0.15817338	0.75630766	0.60235375	0.18791842	0.17278787
0.10294316	0.44922268	-0.27938932	0.84234524	0.871686	-0.04819179	-0.46189266	-0.15651847	0.7557557	0.60283905	0.1881223	0.17328718
0.10884041	0.44627157	-0.28644657	0.84080076	0.8719121	-0.042030785	-0.46325433	-0.15296994	0.7554322	0.60287327	0.18862687	0.1740291
